base_source,group,pruned_round,runs,rows,fraction_mean,fraction_std,fraction_ci95,fraction_n,base_only_pruned_mean,base_only_pruned_std,base_only_pruned_ci95,base_only_pruned_n
traj_rms_abs,stage3,1,5,5,0.1713660829403801,0.013310593614416001,0.01166724971994185,5,2074.2,175.85846581839613,154.1467417235927,5
traj_rms_abs,stage3,2,5,5,0.21447176078783428,0.0076561206711630615,0.006710885655747472,5,2595.0,99.67447015158896,87.36852522504886,5
traj_rms_abs,stage3,3,5,5,0.2234832310732354,0.0047978301206544815,0.00420548352335754,5,2703.6,41.46444259844813,36.345186421313066,5
traj_rms_abs,stage3,4,5,5,0.2081402860748897,0.009857285555338614,0.008640291745542652,5,2519.0,138.9298384077373,121.77737261084259,5
traj_rms_abs,stage3,5,5,5,0.18253863912366047,0.011980752154768346,0.010501592285938527,5,2208.4,145.02172251080182,127.11714446131961,5
traj_rms_abs,stem,1,5,5,0.17607084601339604,0.02837572224723457,0.02487241719134408,5,20.0,3.24037034920393,2.84030984225313,5
traj_rms_abs,stem,2,5,5,0.22206246909247063,0.055052446482664295,0.04825559696385937,5,24.8,3.492849839314596,3.0616178729554084,5
traj_rms_abs,stem,3,5,5,0.24075125094988467,0.054093888329704916,0.04741538369722107,5,28.0,9.486832980505138,8.315575746753797,5
traj_rms_abs,stem,4,5,5,0.19570111314239552,0.0334444026576844,0.029315311461307118,5,22.6,5.856620185738529,5.133553934653848,5
traj_rms_abs,stem,5,5,5,0.16541432080185314,0.025395790801097558,0.022260392112858247,5,18.8,3.2710854467592254,2.8672328123122477,5
